name : labopt_logs\lab_opt_2025_02_11\optimization__2025-02-11-22-03__simplex__.txt
start_time : 2025_02_11_22:03:33 * 
opt_alg : local_optimizer @ simplex
func : <function _main.<locals>.f_dec.<locals>.wrap at 0x000001E77FA75300>
paras_init : array([ 1.2, -1.1,  1.4])
bounds : ((-2, 2), (-2, 2), (-2, 2))
args : ()
kwargs : {'max_run': 100, 'delay': 0.01, 'method': 'simplex', 'log': True, 'val_only': True, '_opt_type': 'local_optimizer', 'extra_dict': {}, 'opt_inherit': None}
end_time : 2025_02_11_22:03:36 * 

form : rounds, time, parameters, cost 

##
0, 11:22:03:33, [1.2,-1.1,1.4], 653.2199999999999
1, 11:22:03:33, [1.26,-1.1,1.4], 730.4069760000001
2, 11:22:03:33, [1.2,-1.1550000000000002,1.4], 678.5217950625
3, 11:22:03:33, [1.2,-1.1,1.47], 656.3699999999999
4, 11:22:03:33, [1.14,-1.1366666666666667,1.4466666666666663], 600.5163056419752
5, 11:22:03:33, [1.0799999999999996,-1.1550000000000002,1.4699999999999998], 545.3891410624998
6, 11:22:03:33, [1.1199999999999999,-1.0816666666666666,1.4933333333333332], 560.5227480378086
7, 11:22:03:33, [1.0666666666666662,-1.1244444444444444,1.4388888888888889], 519.3281458826395
8, 11:22:03:33, [0.9999999999999996,-1.1366666666666667,1.4233333333333333], 462.8243414938268
9, 11:22:03:33, [0.9333333333333329,-1.148888888888889,1.5244444444444447], 416.8441424075597
10, 11:22:03:33, [0.7999999999999994,-1.1733333333333338,1.586666666666667], 337.98928908641955
11, 11:22:03:33, [0.7999999999999992,-1.228333333333334,1.4933333333333336], 354.09634426003066
12, 11:22:03:33, [0.6533333333333322,-1.2038888888888892,1.5322222222222228], 271.5932305564792
13, 11:22:03:33, [0.4399999999999986,-1.2283333333333335,1.5633333333333344], 207.7658680378083
14, 11:22:03:33, [0.35999999999999877,-1.283333333333334,1.672222222222223], 205.32516816049377
15, 11:22:03:33, [0.03999999999999826,-1.3566666666666678,1.7966666666666677], 191.15683749382745
16, 11:22:03:33, [0.05333333333333168,-1.277222222222223,1.8044444444444458], 172.93700337083726
17, 11:22:03:34, [-0.32000000000000206,-1.3016666666666676,1.9600000000000017], 211.23812007484628
18, 11:22:03:34, [-0.44444444444444703,-1.4014814814814822,1.8562962962962986], 264.70083076002135
19, 11:22:03:34, [-0.1333333333333354,-1.344444444444445,1.7888888888888905], 192.38055479347693
20, 11:22:03:34, [-0.46666666666666895,-1.4238888888888903,2.0], 277.608695688168
21, 11:22:03:34, [0.21333333333333174,-1.2772222222222227,1.680000000000001], 181.0041346739921
22, 11:22:03:34, [0.3377777777777765,-1.262962962962964,1.7318518518518524], 197.05885849066217
23, 11:22:03:34, [-0.015555555555557432,-1.3240740740740748,1.7746296296296311], 181.86001558107318
24, 11:22:03:34, [0.12740740740740572,-1.2290123456790125,1.7093827160493844], 164.7499964843803
25, 11:22:03:34, [0.17111111111110944,-1.1651851851851847,1.665740740740743], 157.54114456184595
26, 11:22:03:34, [0.30740740740740596,-1.1556790123456788,1.658827160493829], 171.86919022687783
27, 11:22:03:34, [0.14123456790123304,-1.1215020576131682,1.7393415637860103], 158.72030957100176
28, 11:22:03:34, [0.35983539094650063,-1.0176886145404649,1.5714951989026091], 164.78951587812168
29, 11:22:03:34, [0.1407133058984894,-1.0472382258801995,1.6588911751257465], 150.39166884695993
30, 11:22:03:34, [0.05736625514403115,-0.9930178326474599,1.658923182441705], 149.39498555704836
31, 11:22:03:34, [-0.11336076817558491,-1.1687814357567436,1.804508459076363], 164.79320510253035
32, 11:22:03:34, [0.24153635116597924,-1.0554618198445347,1.6297485139460477], 155.4552859678309
33, 11:22:03:34, [0.17210791037951353,-1.0209411675049511,1.56360006096632], 142.3109229533951
34, 11:22:03:34, [0.18754458161865378,-0.9706607224508423,1.475729309556475], 134.18097694085066
35, 11:22:03:34, [0.15318701417466668,-0.8475750647767066,1.5105265965554087], 142.75099508634554
36, 11:22:03:34, [0.023862216125588503,-0.8187072600721379,1.4670375450896778], 134.8639736807789
37, 11:22:03:34, [0.18569628613524147,-0.7649441988856647,1.309939118359336], 120.21995110045182
38, 11:22:03:34, [0.24986130163084663,-0.650907382004767,1.1354470863181518], 104.83449963758261
39, 11:22:03:34, [0.1543250520753926,-0.7792751782417915,1.2082826974207945], 104.49821581825887
40, 11:22:03:34, [0.1548940710257556,-0.745125234974334,1.0571607478534872], 88.10911799597179
41, 11:22:03:34, [0.37100442005791556,-0.7590882995478243,0.9785205507290651], 100.08793082655133
42, 11:22:03:34, [0.32962861352435807,-0.46608655523377474,0.638356280377328], 53.36576777894492
43, 11:22:03:34, [0.4006706294772102,-0.21379947162524093,0.21966976578775466], 18.871473319671907
44, 11:22:03:34, [0.3678514454097409,-0.4944346220934992,0.3681202899287195], 43.82041407017051
45, 11:22:03:34, [0.2446063438838889,-0.2098179195808918,0.11811331831757577], 9.854330334066216
46, 11:22:03:34, [0.18140730579687558,0.06481727040257446,-0.3120902978881688], 11.650513125898113
47, 11:22:03:34, [0.5205248748214711,0.13309055944124604,-0.5865584984974539], 39.39626074325942
