start_time : 2024_11_18_14:37:28
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-37__shgo__.txt
method : shgo
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:37:28, [10.0,10.0,10.0,-10.0], -76.461393
1, 18:14:37:28, [10.0,10.0,-10.0,10.0], -356.461393
2, 18:14:37:28, [-10.0,-10.0,10.0,10.0], 406.680100
3, 18:14:37:29, [10.0,10.0,-10.0,-10.0], -273.319900
4, 18:14:37:29, [-10.0,10.0,-10.0,10.0], -113.319900
5, 18:14:37:29, [-10.0,-10.0,-10.0,10.0], 209.821594
6, 18:14:37:29, [-10.0,10.0,10.0,10.0], 83.538607
7, 18:14:37:29, [-10.0,10.0,-10.0,-10.0], -30.178406
8, 18:14:37:29, [0.0,0.0,0.0,0.0], -372.071029
9, 18:14:37:29, [-10.0,-10.0,10.0,-10.0], 489.821594
10, 18:14:37:29, [-10.0,-10.0,-10.0,-10.0], 292.963088
11, 18:14:37:29, [-10.0,10.0,10.0,-10.0], 166.680100
12, 18:14:37:29, [10.0,-10.0,10.0,10.0], 163.538607
13, 18:14:37:29, [10.0,-10.0,10.0,-10.0], 246.680100
14, 18:14:37:29, [10.0,-10.0,-10.0,10.0], -33.319900
15, 18:14:37:29, [10.0,10.0,10.0,10.0], -159.602887
16, 18:14:37:29, [10.0,-10.0,-10.0,-10.0], 49.821594
