start_time : 2024_11_18_14:30:09
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-30__shgo__.txt
method : shgo
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:30:10, [10.0,10.0,10.0,-10.0], -76.461393
1, 18:14:30:10, [10.0,10.0,-10.0,10.0], -356.461393
2, 18:14:30:10, [-10.0,-10.0,10.0,10.0], 406.680100
3, 18:14:30:10, [10.0,10.0,-10.0,-10.0], -273.319900
4, 18:14:30:10, [-10.0,10.0,-10.0,10.0], -113.319900
5, 18:14:30:10, [-10.0,-10.0,-10.0,10.0], 209.821594
6, 18:14:30:10, [-10.0,10.0,10.0,10.0], 83.538607
7, 18:14:30:10, [-10.0,10.0,-10.0,-10.0], -30.178406
8, 18:14:30:10, [0.0,0.0,0.0,0.0], -372.071029
9, 18:14:30:10, [-10.0,-10.0,10.0,-10.0], 489.821594
10, 18:14:30:10, [-10.0,-10.0,-10.0,-10.0], 292.963088
11, 18:14:30:10, [-10.0,10.0,10.0,-10.0], 166.680100
12, 18:14:30:10, [10.0,-10.0,10.0,10.0], 163.538607
13, 18:14:30:10, [10.0,-10.0,10.0,-10.0], 246.680100
14, 18:14:30:10, [10.0,-10.0,-10.0,10.0], -33.319900
15, 18:14:30:10, [10.0,10.0,10.0,10.0], -159.602887
16, 18:14:30:10, [10.0,-10.0,-10.0,-10.0], 49.821594
17, 18:14:30:10, [0.0,0.0,0.0,0.0], -372.071029
18, 18:14:30:10, [1.4901161193847656e-08,0.0,0.0,0.0], -372.071029
19, 18:14:30:11, [0.0,1.4901161193847656e-08,0.0,0.0], -372.071029
20, 18:14:30:11, [0.0,0.0,1.4901161193847656e-08,0.0], -372.071029
21, 18:14:30:11, [0.0,0.0,0.0,1.4901161193847656e-08], -372.071029
22, 18:14:30:11, [9.112709045410156,10.0,-9.999999999999998,1.1127090454101562], -425.523868
23, 18:14:30:11, [9.112709060311317,10.0,-9.999999999999998,1.1127090454101562], -425.523868
24, 18:14:30:11, [9.112709045410156,9.999999985098839,-9.999999999999998,1.1127090454101562], -425.523868
25, 18:14:30:11, [9.112709045410156,10.0,-9.999999985098837,1.1127090454101562], -425.523868
