start_time : 2024_11_18_14:43:45
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-43__direct__.txt
method : direct
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:43:46, [0.0,0.0,0.0,0.0], -372.071029
1, 18:14:43:46, [6.666666666666665,0.0,0.0,0.0], -406.163692
2, 18:14:43:46, [-6.666666666666666,0.0,0.0,0.0], -248.324259
3, 18:14:43:46, [0.0,6.666666666666665,0.0,0.0], -432.830359
4, 18:14:43:46, [0.0,-6.666666666666666,0.0,0.0], -221.657592
5, 18:14:43:46, [0.0,0.0,6.666666666666665,0.0], -259.497025
6, 18:14:43:46, [0.0,0.0,-6.666666666666666,0.0], -394.990925
7, 18:14:43:46, [0.0,0.0,0.0,6.666666666666665], -352.830359
8, 18:14:43:46, [0.0,0.0,0.0,-6.666666666666666], -301.657592
9, 18:14:43:46, [6.666666666666665,6.666666666666665,0.0,0.0], -466.923022
10, 18:14:43:46, [-6.666666666666666,6.666666666666665,0.0,0.0], -309.083588
11, 18:14:43:46, [0.0,6.666666666666665,6.666666666666665,0.0], -320.256355
12, 18:14:43:46, [0.0,6.666666666666665,-6.666666666666666,0.0], -455.750255
13, 18:14:43:46, [0.0,6.666666666666665,0.0,6.666666666666665], -413.589688
14, 18:14:43:46, [0.0,6.666666666666665,0.0,-6.666666666666666], -362.416921
15, 18:14:43:46, [6.666666666666665,-6.666666666666666,0.0,0.0], -255.750255
16, 18:14:43:46, [-6.666666666666666,-6.666666666666666,0.0,0.0], -97.910821
17, 18:14:43:46, [0.0,-6.666666666666666,6.666666666666665,0.0], -109.083588
18, 18:14:43:46, [0.0,-6.666666666666666,-6.666666666666666,0.0], -244.577488
19, 18:14:43:46, [0.0,-6.666666666666666,0.0,6.666666666666665], -202.416921
20, 18:14:43:46, [0.0,-6.666666666666666,0.0,-6.666666666666666], -151.244155
21, 18:14:43:46, [6.666666666666665,6.666666666666665,6.666666666666665,0.0], -354.349018
22, 18:14:43:47, [6.666666666666665,6.666666666666665,-6.666666666666666,0.0], -489.842918
23, 18:14:43:47, [6.666666666666665,6.666666666666665,0.0,6.666666666666665], -447.682351
24, 18:14:43:47, [6.666666666666665,6.666666666666665,0.0,-6.666666666666666], -396.509584
25, 18:14:43:47, [6.666666666666665,0.0,6.666666666666665,0.0], -293.589688
26, 18:14:43:47, [6.666666666666665,0.0,-6.666666666666666,0.0], -429.083588
27, 18:14:43:47, [6.666666666666665,0.0,0.0,6.666666666666665], -386.923022
28, 18:14:43:47, [6.666666666666665,0.0,0.0,-6.666666666666666], -335.750255
29, 18:14:43:47, [6.666666666666665,6.666666666666665,-6.666666666666666,6.666666666666665], -470.602247
30, 18:14:43:47, [6.666666666666665,6.666666666666665,-6.666666666666666,-6.666666666666666], -419.429481
31, 18:14:43:47, [-6.666666666666666,6.666666666666665,6.666666666666665,0.0], -196.509584
32, 18:14:43:47, [-6.666666666666666,6.666666666666665,-6.666666666666666,0.0], -332.003484
