start_time : 2024_11_18_14:56:39
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-56__dual_annealing__.txt
method : dual_annealing
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:56:39, [3,0,4,2], -402.751738
1, 18:14:56:39, [-3.097443714737892,-4.557675510644913,-2.097443714737892,-2.5576755106449127], -394.165070
2, 18:14:56:39, [6.56110155954957,-9.54276406019926,7.56110155954957,-7.542764060199261], 662.845098
3, 18:14:56:39, [8.7103341370821,7.250102341175079,9.7103341370821,9.25010234117508], 569.313079
4, 18:14:56:39, [-9.999132670462132,8.540635533630848,-4.850728005170822,-5.310959801077843], 318.861219
5, 18:14:56:39, [-4.692464366555214,-4.557675510644913,-2.097443714737892,-2.5576755106449127], -371.025840
6, 18:14:56:39, [-4.692464366555214,7.243587039411068,-2.097443714737892,-2.5576755106449127], -299.177414
7, 18:14:56:39, [-4.692464366555214,7.243587039411068,1.5585377924144268,-2.5576755106449127], -276.090926
8, 18:14:56:39, [-4.692464366555214,7.243587039411068,1.5585377924144268,-0.9218187779188156], -311.743929
9, 18:14:56:39, [3.0,0.0,4.0,2.0], -402.751738
10, 18:14:56:39, [3.05,0.0,4.0,2.0], -402.359974
11, 18:14:56:39, [3.0,0.05,4.0,2.0], -402.411881
12, 18:14:56:39, [3.0,0.0,4.05,2.0], -402.573565
13, 18:14:56:39, [3.0,0.0,4.0,2.05], -401.999785
14, 18:14:56:40, [-4.8352724252704595,-6.797134443003188,0.4365393645391449,-10.0], 119.197665
15, 18:14:56:40, [-4.78527242527046,-6.797134443003188,0.4365393645391449,-10.0], 116.942322
16, 18:14:56:40, [-4.8352724252704595,-6.747134443003188,0.4365393645391449,-10.0], 115.238499
17, 18:14:56:40, [-4.8352724252704595,-6.797134443003188,0.48653936453914487,-10.0], 119.805299
