start_time : 2024_11_18_14:55:28
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-55__dual_annealing__.txt
method : dual_annealing
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:55:28, [3,0,4,2], -319.569569
1, 18:14:55:28, [-7.1616026237607,-3.2191100269556046,-6.1616026237607,-1.2191100269556046], -178.705382
2, 18:14:55:28, [7.499760568141937,8.566904947161674,8.499760568141937,-6.557746835052967], -215.817580
3, 18:14:55:28, [1.0235952138900757,2.090739592909813,2.0235952138900757,-4.426324110478163], -315.682408
4, 18:14:55:28, [0.5732385665178299,-5.464265562593937,1.57323856651783,8.018670737743378], -187.568749
5, 18:14:55:28, [9.707909628748894,-5.464265562593937,1.57323856651783,8.018670737743378], -196.158715
6, 18:14:55:29, [9.707909628748894,8.523918442428112,1.57323856651783,8.018670737743378], -370.147462
7, 18:14:55:29, [9.707909628748894,8.523918442428112,3.589881938882172,8.018670737743378], -338.973175
8, 18:14:55:29, [9.707909628748894,8.523918442428112,3.589881938882172,9.261680439580232], -320.510745
9, 18:14:55:29, [9.707909628748894,8.523918442428112,1.57323856651783,8.018670737743378], -370.147462
10, 18:14:55:29, [9.757909628748894,8.523918442428112,1.57323856651783,8.018670737743378], -369.991593
11, 18:14:55:29, [9.707909628748894,8.573918442428113,1.57323856651783,8.018670737743378], -369.982717
12, 18:14:55:29, [9.707909628748894,8.523918442428112,1.62323856651783,8.018670737743378], -369.228338
13, 18:14:55:29, [9.707909628748894,8.523918442428112,1.57323856651783,8.068670737743378], -369.311676
14, 18:14:55:29, [6.590541096766673,5.229015473018126,-10.0,-8.69704858083195], -333.802331
15, 18:14:55:29, [6.640541096766673,5.229015473018126,-10.0,-8.69704858083195], -333.518400
16, 18:14:55:29, [6.590541096766673,5.279015473018126,-10.0,-8.69704858083195], -334.228179
17, 18:14:55:29, [6.590541096766673,5.229015473018126,-9.95,-8.69704858083195], -334.285170
18, 18:14:55:29, [6.590541096766673,5.229015473018126,-10.0,-8.64704858083195], -335.154927
19, 18:14:55:29, [8.261296482858995,6.994920538882415,-3.7973163996603345,0.26175041819397027], -465.179037
20, 18:14:55:29, [8.311296482858996,6.994920538882415,-3.7973163996603345,0.26175041819397027], -464.771755
21, 18:14:55:29, [8.261296482858995,7.0449205388824145,-3.7973163996603345,0.26175041819397027], -464.993185
22, 18:14:55:29, [8.261296482858995,6.994920538882415,-3.7473163996603347,0.26175041819397027], -465.017534
23, 18:14:55:29, [8.261296482858995,6.994920538882415,-3.7973163996603345,0.31175041819397026], -465.137419
24, 18:14:55:29, [4.143538977063442,4.93716461677202,-5.86300103543289,-1.7242570582516783], -461.821422
25, 18:14:55:29, [4.193538977063442,4.93716461677202,-5.86300103543289,-1.7242570582516783], -462.304623
26, 18:14:55:29, [4.143538977063442,4.98716461677202,-5.86300103543289,-1.7242570582516783], -462.344712
27, 18:14:55:29, [4.143538977063442,4.93716461677202,-5.81300103543289,-1.7242570582516783], -461.661532
28, 18:14:55:29, [4.143538977063442,4.93716461677202,-5.86300103543289,-1.6742570582516783], -462.471030
29, 18:14:55:29, [6.225275561583679,5.977465260761198,-4.818692022015577,-0.720228915499532], -483.296431
30, 18:14:55:29, [6.275275561583679,5.977465260761198,-4.818692022015577,-0.720228915499532], -483.135798
31, 18:14:55:29, [6.225275561583679,6.027465260761198,-4.818692022015577,-0.720228915499532], -483.430449
32, 18:14:55:29, [6.225275561583679,5.977465260761198,-4.7686920220155775,-0.720228915499532], -483.001587
33, 18:14:55:29, [6.225275561583679,5.977465260761198,-4.818692022015577,-0.670228915499532], -483.623806
34, 18:14:55:30, [3.5988678981018194,5.572639875577728,-6.602901690343716,0.2798282519622504], -475.412328
35, 18:14:55:30, [3.648867898101819,5.572639875577728,-6.602901690343716,0.2798282519622504], -475.899972
36, 18:14:55:30, [3.5988678981018194,5.622639875577728,-6.602901690343716,0.2798282519622504], -475.707559
37, 18:14:55:30, [3.5988678981018194,5.572639875577728,-6.552901690343716,0.2798282519622504], -475.508490
38, 18:14:55:30, [3.5988678981018194,5.572639875577728,-6.602901690343716,0.3298282519622504], -475.365108
39, 18:14:55:30, [5.338340227482681,5.84075611874466,-5.421217905673309,-0.3825105748642761], -487.670833
40, 18:14:55:30, [5.388340227482681,5.84075611874466,-5.421217905673309,-0.3825105748642761], -487.856536
41, 18:14:55:30, [5.338340227482681,5.89075611874466,-5.421217905673309,-0.3825105748642761], -487.859072
42, 18:14:55:30, [5.338340227482681,5.84075611874466,-5.371217905673309,-0.3825105748642761], -487.415113
43, 18:14:55:30, [5.338340227482681,5.84075611874466,-5.421217905673309,-0.3325105748642761], -487.863523
44, 18:14:55:30, [5.50733899196611,6.215427776885462,-6.2724807951202735,0.16879002185319059], -492.777919
45, 18:14:55:30, [5.55733899196611,6.215427776885462,-6.2724807951202735,0.16879002185319059], -492.898830
46, 18:14:55:30, [5.50733899196611,6.265427776885462,-6.2724807951202735,0.16879002185319059], -492.820916
