start_time : 2024_11_18_14:58:24
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-58__direct__.txt
method : direct
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:58:25, [0.0,0.0,0.0,0.0], -507.165158
1, 18:14:58:25, [6.666666666666665,0.0,0.0,0.0], -444.409842
2, 18:14:58:25, [-6.666666666666666,0.0,0.0,0.0], -442.297197
3, 18:14:58:25, [0.0,6.666666666666665,0.0,0.0], -460.415472
4, 18:14:58:25, [0.0,-6.666666666666666,0.0,0.0], -456.158234
5, 18:14:58:25, [0.0,0.0,6.666666666666665,0.0], -432.645546
6, 18:14:58:25, [0.0,0.0,-6.666666666666666,0.0], -442.328160
7, 18:14:58:25, [0.0,0.0,0.0,6.666666666666665], -425.198583
8, 18:14:58:25, [0.0,0.0,0.0,-6.666666666666666], -427.375123
9, 18:14:58:25, [6.666666666666665,6.666666666666665,0.0,0.0], -467.428057
10, 18:14:58:25, [-6.666666666666666,6.666666666666665,0.0,0.0], -313.137634
11, 18:14:58:25, [0.0,6.666666666666665,6.666666666666665,0.0], -316.167464
12, 18:14:58:25, [0.0,6.666666666666665,-6.666666666666666,0.0], -452.664894
13, 18:14:58:25, [0.0,6.666666666666665,0.0,6.666666666666665], -397.490872
14, 18:14:58:25, [0.0,6.666666666666665,0.0,-6.666666666666666], -348.941486
15, 18:14:58:25, [2.222222222222223,0.0,0.0,0.0], -474.293253
16, 18:14:58:25, [-2.2222222222222223,0.0,0.0,0.0], -496.081757
17, 18:14:58:25, [0.0,2.222222222222223,0.0,0.0], -473.851783
18, 18:14:58:25, [0.0,-2.2222222222222223,0.0,0.0], -499.841746
19, 18:14:58:25, [0.0,0.0,2.222222222222223,0.0], -485.195415
20, 18:14:58:25, [0.0,0.0,-2.2222222222222223,0.0], -483.875891
21, 18:14:58:25, [0.0,0.0,0.0,2.222222222222223], -476.598416
22, 18:14:58:25, [0.0,0.0,0.0,-2.2222222222222223], -489.984001
23, 18:14:58:25, [6.666666666666665,-6.666666666666666,0.0,0.0], -294.400449
24, 18:14:58:25, [-6.666666666666666,-6.666666666666666,0.0,0.0], -344.910027
25, 18:14:58:26, [0.0,-6.666666666666666,6.666666666666665,0.0], -330.873190
26, 18:14:58:26, [0.0,-6.666666666666666,-6.666666666666666,0.0], -296.703953
27, 18:14:58:26, [0.0,-6.666666666666666,0.0,6.666666666666665], -292.729931
28, 18:14:58:26, [0.0,-6.666666666666666,0.0,-6.666666666666666], -312.447212
29, 18:14:58:26, [6.666666666666665,6.666666666666665,6.666666666666665,0.0], -255.822025
30, 18:14:58:26, [6.666666666666665,6.666666666666665,-6.666666666666666,0.0], -497.800936
31, 18:14:58:26, [6.666666666666665,6.666666666666665,0.0,6.666666666666665], -410.982469
32, 18:14:58:26, [6.666666666666665,6.666666666666665,0.0,-6.666666666666666], -320.240491
33, 18:14:58:26, [6.666666666666665,0.0,6.666666666666665,0.0], -302.532205
34, 18:14:58:26, [6.666666666666665,0.0,-6.666666666666666,0.0], -417.696301
35, 18:14:58:26, [6.666666666666665,0.0,0.0,6.666666666666665], -368.922279
36, 18:14:58:26, [6.666666666666665,0.0,0.0,-6.666666666666666], -328.906227
37, 18:14:58:26, [6.666666666666665,6.666666666666665,-6.666666666666666,6.666666666666665], -441.552879
